Cell.Type	SymByEntrez
Cytotoxic cells	KLRF1
Cytotoxic cells	KLRK1
Cytotoxic cells	NKG7
Cytotoxic cells	RORA
Cytotoxic cells	RUNX3
Cytotoxic cells	SIGIRR
Cytotoxic cells	WHAMMP3
Cytotoxic cells	ZBTB16
DC	CCL13
DC	CCL17
DC	CCL22
DC	CD209
DC	HSD11B1
DC	NPR1
DC	PPFIBP2
Eosinophils	ABHD2
Eosinophils	ACACB
Eosinophils	TRMO
Eosinophils	CAT
Eosinophils	CCR3
Eosinophils	CLC
Eosinophils	CYSLTR2
Eosinophils	ADGRE1
Eosinophils	EPN2
Eosinophils	GALC
Eosinophils	PTGDR2
Eosinophils	HES1
Eosinophils	HIST1H1C
Eosinophils	HRH4
Eosinophils	CD101
Eosinophils	IL5RA
Eosinophils	KBTBD11
Eosinophils	KCNH2
Eosinophils	LRP5L
Eosinophils	MYO15B
Eosinophils	RCOR3
Eosinophils	RNASE2
Eosinophils	RRP12
Eosinophils	SIAH1
Eosinophils	SMPD3
Eosinophils	SYNJ1
Eosinophils	TGIF1
Eosinophils	THBS1
Eosinophils	THBS4
Eosinophils	TIPARP
Eosinophils	TKTL1
iDC	ABCG2
iDC	BLVRB
iDC	CARD9
iDC	CD1A
iDC	CD1B
iDC	CD1C
iDC	CD1E
iDC	CH25H
iDC	CLEC10A
iDC	CSF1R
iDC	CTNS
iDC	F13A1
iDC	FABP4
iDC	FZD2
iDC	GSTT1
iDC	GUCA1A
iDC	HS3ST2
iDC	LMAN2L
iDC	MMP12
iDC	MS4A6A
iDC	NUDT9
iDC	PDXK
iDC	PPARG
iDC	PREP
iDC	RAP1GAP
iDC	SLC26A6
iDC	SLC7A8
iDC	SYT17
iDC	TACSTD2
iDC	DCSTAMP
iDC	VASH1
Macrophages	APOE
Macrophages	ATG7
Macrophages	BCAT1
Macrophages	CCL7
Macrophages	CD163
Macrophages	CD68
Macrophages	CD84
Macrophages	CHI3L1
Macrophages	CHIT1
Macrophages	CLEC5A
Macrophages	COL8A2
Macrophages	COLEC12
Macrophages	CTSK
Macrophages	CXCL5
Macrophages	CYBB
Macrophages	DNASE2B
Macrophages	EMP1
Macrophages	FDX1
Macrophages	FN1
Macrophages	GM2A
Macrophages	GPC4
Macrophages	ANOS1
Macrophages	MARCO
Macrophages	ME1
Macrophages	MS4A4A
Macrophages	MSR1
Macrophages	PCOLCE2
Macrophages	PTGDS
Macrophages	RAI14
Macrophages	SCARB2
Macrophages	SCG5
Macrophages	SGMS1
Macrophages	SULT1C2
Mast cells	ABCC4
Mast cells	ADCYAP1
Mast cells	CALB2
Mast cells	CEACAM8
Mast cells	CMA1
Mast cells	CPA3
Mast cells	CTSG
Mast cells	ELANE
Mast cells	GATA2
Mast cells	HDC
Mast cells	HPGD
Mast cells	HPGDS
Mast cells	KIT
Mast cells	LINC01140
Mast cells	MAOB
Mast cells	MLPH
Mast cells	MPO
Mast cells	MS4A2
Mast cells	NR0B1
Mast cells	PPM1H
Mast cells	PRG2
Mast cells	PTGS1
Mast cells	SCG2
Mast cells	SIGLEC6
Mast cells	SLC18A2
Mast cells	SLC24A3
Mast cells	TAL1
Mast cells	TPSAB1
Mast cells	TPSB2
Mast cells	VWA5A
Neutrophils	ALPL
Neutrophils	BST1
Neutrophils	CD93
Neutrophils	CEACAM3
Neutrophils	CREB5
Neutrophils	CRISPLD2
Neutrophils	CSF3R
Neutrophils	CYP4F3
Neutrophils	DYSF
Neutrophils	FCAR
Neutrophils	FCGR3B
Neutrophils	CPPED1
Neutrophils	FPR1
Neutrophils	FPR2
Neutrophils	G0S2
Neutrophils	HIST1H2BC
Neutrophils	HPSE
Neutrophils	CXCR1
Neutrophils	CXCR2
Neutrophils	KCNJ15
Neutrophils	LILRB2
Neutrophils	MGAM
Neutrophils	MME
Neutrophils	PDE4B
Neutrophils	S100A12
Neutrophils	SIGLEC5
Neutrophils	SLC22A4
Neutrophils	SLC25A37
Neutrophils	TECPR2
Neutrophils	TNFRSF10C
Neutrophils	VNN3
NK CD56bright cells	DUSP4
NK CD56bright cells	FOXJ1
NK CD56bright cells	LPCAT4
NK CD56bright cells	MADD
NK CD56bright cells	MARCH6
NK CD56bright cells	MPPED1
NK CD56bright cells	MUC3B
NK CD56bright cells	TRAPPC9
NK CD56bright cells	PLA2G6
NK CD56bright cells	RRAD
NK CD56bright cells	XCL1
NK CD56dim cells	S1PR5
NK CD56dim cells	TTC38
NK CD56dim cells	GTF3C1
NK CD56dim cells	GZMB
NK CD56dim cells	IL21R
NK CD56dim cells	KIR2DL3
NK CD56dim cells	KIR2DS1
NK CD56dim cells	KIR2DS2
NK CD56dim cells	KIR2DS5
NK CD56dim cells	KIR3DL1
NK CD56dim cells	KIR3DL2
NK CD56dim cells	KIR3DL3
NK CD56dim cells	KIR3DS1
NK CD56dim cells	SPON2
NK CD56dim cells	PMEPA1
NK cells	ADARB1
NK cells	GNAS
NK cells	ALDH1B1
NK cells	APBB2
NK cells	ATL2
NK cells	BCL2
NK cells	CDC5L
NK cells	FGF18
NK cells	FUT5
NK cells	FZR1
NK cells	GAGE2A
NK cells	IGFBP5
NK cells	KANK2
NK cells	LDB3
NK cells	MAPRE3
NK cells	MCM3AP
NK cells	MRC2
NK cells	NCR1
NK cells	PDLIM4
NK cells	PRX
NK cells	PSMD4
NK cells	AD7C-NTP
NK cells	SGMS1
NK cells	SLC30A5
NK cells	PPP4R3A
NK cells	SPN
NK cells	TBXA2R
NK cells	TCTN2
NK cells	TINAGL1
NK cells	TRPV6
NK cells	XCL1
NK cells	XCL2
NK cells	ZNF205
NK cells	ZNF528
NK cells	ZNF747
pDC	IL3RA
T cells	BCL11B
T cells	CD2
T cells	CD28
T cells	CD3D
T cells	CD3E
T cells	CD3G
T cells	CD6
T cells	CD96
T cells	GIMAP5
T cells	ITM2A
T cells	LCK
T cells	NCALD
T cells	PRKCQ
T cells	SH2D1A
T cells	SKAP1
T cells	TRA
T cells	TRAC
T cells	TRAT1
T cells	TRBC1
T helper cells	ANP32B
T helper cells	ASF1A
T helper cells	ATF2
T helper cells	BATF
T helper cells	BORA
T helper cells	CD28
T helper cells	DDX50
T helper cells	FAM111A
T helper cells	FRYL
T helper cells	GOLGA8A
T helper cells	ICOS
T helper cells	ITM2A
T helper cells	LRBA
T helper cells	NAP1L4
T helper cells	NUP107
T helper cells	PHF10
T helper cells	PPP2R5C
T helper cells	RPA1
T helper cells	SEC24C
T helper cells	SLC25A12
T helper cells	SRSF10
T helper cells	TRA
T helper cells	UBE2L3
T helper cells	YME1L1
Tcm cells	AQP3
Tcm cells	ATF7IP
Tcm cells	ATM
Tcm cells	CASP8
Tcm cells	CDC14A
Tcm cells	CEP68
Tcm cells	CLUAP1
Tcm cells	CREBZF
Tcm cells	CYLD
Tcm cells	DOCK9
Tcm cells	FAM153B
Tcm cells	FOXP1
Tcm cells	FYB
Tcm cells	HNRNPH1
Tcm cells	INPP4B
Tcm cells	KLF12
Tcm cells	LOC441155
Tcm cells	MAP3K1
Tcm cells	KMT2A
Tcm cells	N4BP2L2-IT2
Tcm cells	NEFL
Tcm cells	NFATC3
Tcm cells	PCM1
Tcm cells	PCNX1
Tcm cells	PDXDC2P
Tcm cells	PHC3
Tcm cells	POLR2J2
Tcm cells	PSPC1
Tcm cells	REPS1
Tcm cells	RPP38
Tcm cells	SLC7A6
Tcm cells	SNRPN
Tcm cells	ST3GAL1
Tcm cells	STX16
Tcm cells	TIMM8A
Tcm cells	TRAF3IP3
Tcm cells	TXK
Tcm cells	TXLNGY
Tcm cells	USP9Y
Tem cells	AKT3
Tem cells	SND1-IT1
Tem cells	CCR2
Tem cells	DDX17
Tem cells	EWSR1
Tem cells	FLI1
Tem cells	GDPD5
Tem cells	LTK
Tem cells	MEFV
Tem cells	NFATC4
Tem cells	PRKY
Tem cells	TBC1D5
Tem cells	TBCD
Tem cells	TRA
Tem cells	EZR
Tfh cells	B3GAT1
Tfh cells	CXCR5
Tfh cells	LDLRAD4
Tfh cells	CDK5R1
Tfh cells	CHGB
Tfh cells	CHI3L2
Tfh cells	CXCL13
Tfh cells	HEY1
Tfh cells	HIST1H4K
Tfh cells	ICA1
Tfh cells	KCNK5
Tfh cells	KIAA1324
Tfh cells	MAF
Tfh cells	MAGEH1
Tfh cells	MKL2
Tfh cells	MYO6
Tfh cells	MYO7A
Tfh cells	PASK
Tfh cells	PDCD1
Tfh cells	POMT1
Tfh cells	PTPN13
Tfh cells	PVALB
Tfh cells	SH3TC1
Tfh cells	SIRPG
Tfh cells	SLC7A10
Tfh cells	SMAD1
Tfh cells	ST8SIA1
Tfh cells	STK39
Tfh cells	THADA
Tfh cells	TOX
Tfh cells	TSHR
Tfh cells	ZNF764
Tgd cells	C1orf61
Tgd cells	CD160
Tgd cells	FEZ1
Tgd cells	TARP
Tgd cells	TRD
Tgd cells	TRGV9
Th1 cells	APBB2
Th1 cells	APOD
Th1 cells	ATP9A
Th1 cells	BST2
Th1 cells	BTG3
Th1 cells	CCL4
Th1 cells	CD38
Th1 cells	CD70
Th1 cells	CMAHP
Th1 cells	CSF2
Th1 cells	CTLA4
Th1 cells	DGKI
Th1 cells	DOK5
Th1 cells	DPP4
Th1 cells	DUSP5
Th1 cells	EGFL6
Th1 cells	GGT1
Th1 cells	HBEGF
Th1 cells	IFNG
Th1 cells	IL12RB2
Th1 cells	IL22
Th1 cells	LRP8
Th1 cells	LRRN3
Th1 cells	LTA
Th1 cells	SGCB
Th1 cells	SYNGR3
Th1 cells	ZBTB32
Th17 cells	IL17A
Th17 cells	IL17RA
Th17 cells	RORC
Th2 cells	ADCY1
Th2 cells	AHI1
Th2 cells	ANK1
Th2 cells	BIRC5
Th2 cells	CDC25C
Th2 cells	CDC7
Th2 cells	CENPF
Th2 cells	CXCR6
Th2 cells	DHFR
Th2 cells	EVI5
Th2 cells	GATA3
Th2 cells	GSTA4
Th2 cells	HELLS
Th2 cells	IL26
Th2 cells	LAIR2
Th2 cells	LIMA1
Th2 cells	MB
Th2 cells	MICAL2
Th2 cells	NEIL3
Th2 cells	PHEX
Th2 cells	PMCH
Th2 cells	PTGIS
Th2 cells	SLC39A14
Th2 cells	SMAD2
Th2 cells	SNRPD1
Th2 cells	WDHD1
Treg cells	FOXP3
Angiogenesis	CDH5
Angiogenesis	ADGRL4
Angiogenesis	CLEC14A
Angiogenesis	LDB2
Angiogenesis	ECSCR
Angiogenesis	MYCT1
Angiogenesis	RHOJ
Angiogenesis	VWF
Angiogenesis	TIE1
Angiogenesis	KDR
Angiogenesis	ESAM
Angiogenesis	PTPRB
Angiogenesis	ADGRF5
Angiogenesis	SPARCL1
Angiogenesis	EMCN
Angiogenesis	ROBO4
Angiogenesis	ENG
Angiogenesis	TEK
Angiogenesis	S1PR1
Angiogenesis	A2M
Angiogenesis	JAM2
Angiogenesis	COL15A1
Angiogenesis	PECAM1
Angiogenesis	CALCRL
Angiogenesis	CLEC3B
Angiogenesis	PLVAP
Angiogenesis	RGS5
Angiogenesis	LRRC32
Angiogenesis	EBF1
Angiogenesis	ADCY4
Angiogenesis	ACVRL1
Angiogenesis	ADGRA2
Angiogenesis	APLNR
Angiogenesis	TM4SF18
Angiogenesis	GNG11
Angiogenesis	CNRIP1
Angiogenesis	ZNF423
Angiogenesis	GIMAP8
Angiogenesis	PDGFD
Angiogenesis	ITGA9
Angiogenesis	EDNRB
APM1	HLA-A
APM1	HLA-B
APM1	HLA-C
APM1	TAP1
APM1	TAP2
APM1	TAPBP
APM1	B2M
APM2	HLA-DMA
APM2	HLA-DMB
APM2	HLA-DOA
APM2	HLA-DOB
APM2	HLA-DPA1
APM2	HLA-DPB1
APM2	HLA-DPB2
APM2	HLA-DQA1
APM2	HLA-DQA2
APM2	HLA-DQB1
APM2	HLA-DQB2
APM2	HLA-DRA
APM2	HLA-DRB1
APM2	HLA-DRB5
APM2	HLA-DRB6
PD1	PDCD1
PDL1	CD274
CTLA4	CTLA4
REACTOME IFNG	IRF9
REACTOME IFNG	GBP4
REACTOME IFNG	GBP5
REACTOME IFNG	GBP6
REACTOME IFNG	FCGR1A
REACTOME IFNG	FCGR1B
REACTOME IFNG	GBP1
REACTOME IFNG	GBP2
REACTOME IFNG	HLA-A
REACTOME IFNG	HLA-B
REACTOME IFNG	HLA-C
REACTOME IFNG	HLA-DPA1
REACTOME IFNG	HLA-DPB1
REACTOME IFNG	HLA-DQA1
REACTOME IFNG	HLA-DQA2
REACTOME IFNG	HLA-DRB1
REACTOME IFNG	HLA-DRB3
REACTOME IFNG	HLA-DRB5
REACTOME IFNG	HLA-F
REACTOME IFNG	HLA-G
REACTOME IFNG	ICAM1
REACTOME IFNG	IRF8
REACTOME IFNG	IFNG
REACTOME IFNG	IFNGR1
REACTOME IFNG	IFNGR2
REACTOME IFNG	IRF1
REACTOME IFNG	IRF2
REACTOME IFNG	IRF3
REACTOME IFNG	IRF4
REACTOME IFNG	IRF5
REACTOME IFNG	IRF6
REACTOME IFNG	IRF7
REACTOME IFNG	JAK1
REACTOME IFNG	JAK2
REACTOME IFNG	GBP7
REACTOME IFNG	CIITA
REACTOME IFNG	MT2A
REACTOME IFNG	NCAM1
REACTOME IFNG	OAS1
REACTOME IFNG	OAS2
REACTOME IFNG	OAS3
REACTOME IFNG	PML
REACTOME IFNG	PRKCD
REACTOME IFNG	B2M
REACTOME IFNG	PTAFR
REACTOME IFNG	PTPN1
REACTOME IFNG	PTPN2
REACTOME IFNG	PTPN6
REACTOME IFNG	PTPN2P1
REACTOME IFNG	HLA-K
REACTOME IFNG	SP100
REACTOME IFNG	STAT1
REACTOME IFNG	SUMO1
REACTOME IFNG	VCAM1
REACTOME IFNG	CAMK2A
REACTOME IFNG	CAMK2B
REACTOME IFNG	CAMK2D
REACTOME IFNG	PIAS1
REACTOME IFNG	OASL
REACTOME IFNG	SOCS1
REACTOME IFNG	SOCS3
REACTOME IFNG	CD44
